8.833144066966220009e+00 8.688730017866440392e+00 1.040004961003721995e+01 9.067249945799529698e+00 8.880584293095008519e+00 9.017938517787852604e+00 1.020921129211179945e+01 1.115900858038434862e+01 1.013117688910572589e+01 9.240682238062531084e+00 9.058815391694572838e+00 1.059859486757070890e+01 1.087940753771884594e+01 1.229306706852658770e+01 8.605548254830374333e+00 9.642887544720119664e+00 1.010256868788643558e+01 1.022576703852719859e+01 9.989133025776430586e+00 1.099374254173078214e+01
1.085217888080606130e+01 8.706340551036129582e+00 1.284682181546711099e+01 1.090080594949128390e+01 9.448082183627589004e+00 9.895649609364960853e+00 9.999842719238651867e+00 9.783425807797208051e+00 9.999374167461548168e+00 8.680441346140115755e+00 8.637512743412154137e+00 9.886729187687615550e+00 9.058128698265432988e+00 8.777001973140464486e+00 1.039808812013117745e+01 8.502300927934278718e+00 1.066990203873427490e+01 9.432422788203073338e+00 1.106979668688592966e+01 1.156887293090389157e+01
1.149591224397701161e+01 1.117356967656276368e+01 9.970741414902585475e+00 9.497070850461824421e+00 8.102996876355005540e+00 1.043257907839171317e+01 9.374195346168050946e+00 1.045954942925732389e+01 1.034983367093569839e+01 8.671682096261585926e+00 9.877714777409433822e+00 1.051590287070733787e+01 7.935068897351886363e+00 9.250028819072337427e+00 9.704760743900957110e+00 1.015845490061319367e+01 8.884058680622894499e+00 9.590761704501169049e+00 1.090492257164251910e+01 1.015783443804604325e+01
1.104120938272083841e+01 1.036715553217644548e+01 8.529677461999151333e+00 1.167736293617766741e+01 1.070323879100818232e+01 1.019183644754970608e+01 1.119183164834212008e+01 1.119985276689892473e+01 1.017889962216086097e+01 1.014980796635697224e+01 1.085507014290543637e+01 1.148360684083407257e+01 1.081917628647585694e+01 8.471545368662505737e+00 1.057899556024390186e+01 8.940149791684007141e+00 9.554857551172705854e+00 1.063283937184928973e+01 1.101001445863526662e+01 9.208523068913409659e+00
8.401538116046349813e+00 8.616079230618385765e+00 9.947364704674402702e+00 1.017811756511419752e+01 1.125015995534578472e+01 1.119333887878464395e+01 1.018687937105235797e+01 1.010463605358699191e+01 1.112870166189685328e+01 8.248275174168187007e+00 9.344686969036514412e+00 9.727580286791100761e+00 8.875496248399324273e+00 9.133158519810891107e+00 1.146244277401982004e+01 1.038563546212817634e+01 1.002858378826489627e+01 9.828737532215551909e+00 9.859378024730890644e+00 9.569349974577548323e+00
8.175143349176439145e+00 8.000634029565349081e+00 1.000047569081616139e+01 8.253126851749186699e+00 1.050602276912391986e+01 1.172404178196104496e+01 1.063296936526971059e+01 9.023494383871632607e+00 9.663711828398986015e+00 1.068269176152940148e+01 9.196726248821631700e+00 8.534130525635829301e+00 1.057637399182887350e+01 9.713061269892728333e+00 1.083178513989761527e+01 9.915705001672122876e+00 9.536283662175474518e+00 1.037089863239102883e+01 1.046384325291973028e+01 1.087952409357761852e+01
9.963401188925876895e+00 1.047193140668478328e+01 1.153404238916840896e+01 9.205092344090676448e+00 9.387915994120549001e+00 1.045417031089505322e+01 1.011359643350193060e+01 9.230400689010171078e+00 1.123940623821911089e+01 9.755745885410487261e+00 9.800200614753158845e+00 1.040826780762631110e+01 1.156394825340745669e+01 9.900730159150949561e+00 9.728539514223859541e+00 9.468546457924999160e+00 1.039215358593684080e+01 1.133325014217624194e+01 9.873982520902387705e+00 9.750949148807629641e+00
8.864359129888050859e+00 9.920869422012447814e+00 9.593748313227468572e+00 8.689174361532284507e+00 9.683303903133303692e+00 1.025490375394041997e+01 1.014952505161433294e+01 1.052948646912948227e+01 8.344094892239235506e+00 1.170256913125427900e+01 8.793350937297223169e+00 9.729078658797455148e+00 8.587373839821063726e+00 1.027986186454649165e+01 1.058285539879873838e+01 1.109562279043798050e+01 9.481478697580127957e+00 1.095333859670043530e+01 1.163446416953165041e+01 9.424711776352062031e+00
9.699823082512400774e+00 1.049525154419522366e+01 1.026590278079881635e+01 1.049937898801264602e+01 1.066173531650872697e+01 1.040432220821482900e+01 1.016691268328804654e+01 1.068554145381946974e+01 9.821379306645786400e+00 9.530090584302158163e+00 1.196518796833064791e+01 1.109480144562252235e+01 9.725157701700025470e+00 8.078956255810597398e+00 1.062897984295794274e+01 7.936102374922973546e+00 1.026558462866620403e+01 1.050536091832509200e+01 9.967332020299618733e+00 1.070903657982556467e+01
1.048537146746226512e+01 9.576449955171849382e+00 9.384255175463199095e+00 7.030851067549436451e+00 9.769227525160481207e+00 8.584646381885342237e+00 9.563328508575906994e+00 9.799615593518371526e+00 1.025801106800057561e+01 8.049687956951983026e+00 1.055893976463072015e+01 9.437144973280609861e+00 9.813223304894473031e+00 1.028842518610052714e+01 9.072739382913676209e+00 9.963982266522933173e+00 8.423854548810885134e+00 9.662672009304303700e+00 9.752225065700368845e+00 9.173858897449161276e+00
