1.088136372636558669e+01 1.018336705924287955e+01 9.049749152254099371e+00 9.591617192820539373e+00 9.810156442781424957e+00 9.014203300973333555e+00 8.808477677378016679e+00 8.455663850510326540e+00 1.036576238265856631e+01 1.145548200325773536e+01
8.458287710326793274e+00 9.519227365187106216e+00 9.303342253735262801e+00 1.006227095565744456e+01 1.141580877342931721e+01 9.956944113299874388e+00 9.738152135082154714e+00 1.183576827323044078e+01 1.237402016106826252e+01 1.229979075882871165e+01
8.512879646050274474e+00 1.035261908474246084e+01 8.690241033839109619e+00 1.063946151420810970e+01 1.116345179378511787e+01 8.093091650913516233e+00 1.094822471945157893e+01 7.832066201679241502e+00 1.242885300166789442e+01 8.727272648484417417e+00
1.062925361041977190e+01 1.183652115991403697e+01 9.912542704124186699e+00 1.011003367171811362e+01 8.822123099384411304e+00 1.010388337276069493e+01 9.940143525495484411e+00 1.024792186858339349e+01 1.068972988320843243e+01 1.042221523293878249e+01
1.056841352257967692e+01 1.074355820251804872e+01 1.077128645356677161e+01 1.085984913604426261e+01 1.083030114074441919e+01 1.030840141997340176e+01 9.444424622872185537e+00 9.663964920042294793e+00 9.777254579713169136e+00 9.289338652583191802e+00
9.179247136557096454e+00 1.084697165589368950e+01 9.903614456163866819e+00 9.023773766079818515e+00 1.126935034589694773e+01 1.148971772694847360e+01 9.900590006501598594e+00 1.008597099296738442e+01 1.090305290024035401e+01 1.062103616725080002e+01
1.168681496208961157e+01 1.177482120475525562e+01 1.001177190097460468e+01 9.049588786031700138e+00 8.702712169078003157e+00 9.032940626108498350e+00 9.709147900837386658e+00 9.751240607925023340e+00 1.166186383224488843e+01 1.107896403501681171e+01
1.047915941048659683e+01 9.768132923163904024e+00 9.683455345102180090e+00 1.142195098408173237e+01 7.872223005131514739e+00 9.190625983634392426e+00 9.055508030225775329e+00 8.524017623272534649e+00 1.206510577907942050e+01 1.133103498480394400e+01
8.930916022772150242e+00 1.025857107520135614e+01 8.650892858914485117e+00 9.931430485541634212e+00 1.091086626258886483e+01 1.182448004082578841e+01 1.188657586407131106e+01 9.102158091629462433e+00 9.534884766602498729e+00 1.176654571489089207e+01
1.044224122843127844e+01 1.035608265167722841e+01 1.080509394027378001e+01 1.100864953843998961e+01 9.408030317989176439e+00 8.775902641830942486e+00 9.283693322763863165e+00 9.258782338459885963e+00 9.117016441006780880e+00 8.890050156867088660e+00
